12;CENTRE EQUESTRE DU DARDAILLON;Enseignement classique axé sur une perspective de compétition. Trois carrières, un parcours de cross.;34146;Lunel-Viel;43.6875259, 4.095062
13;PLONGEE PASSION;Plongée Passion est un centre de plongée à taille humaine où l'on peut réaliser baptêmes, explorations et formations. Le centre est accessible à tous niveaux. Débutants comme confirmés, venez découvrir le plateau rocheux des Aresquiers, et passez vos brevets français ou internationaux (ANMP ou PADI). Les bateaux vous transporteront en dix minutes sur des sites exceptionnels où règnent en maîtres faune et flore subaquatiques.  Ouvert à l'année sur rendez-vous.;34108;Frontignan;43.4334289, 3.77689361
14;MARCHE A SUIVRE;Nous vous proposons des sorties tous les dimanches sauf en juillet et en août.;34057;Castelnau-le-Lez;43.6377577, 3.9164585
15;PAR-CI PAR-LA;"Nous nous occupons de développer la pratique de l'escalade, et autres activités de pleine nature, en cœur d'Hérault... La région est belle, le caillou aussi, nous sommes là pour vous les faire découvrir.

L'association s’investit dans l’aménagement, l’entretien et la création de topo-guides de nombreux sites (falaise et bloc), ainsi que dans l'encadrement de cours hebdomadaires et de camps d'été et stages d'escalade.";34142;Lodève;43.7305919, 3.3166665
16;CULTUR'AILE;Pour faire le plein de sensations fortes, Cultur’aile vous propose de découvrir et de vous initier à la pratique du parapente dans la Vallée du Salagou, au pied du Cirque de Mourèze. Dans cet écrin naturel, l'école de parapente propose de nombreuses activités pour vous émouvoir : baptêmes de l'air, initiations et perfectionnements à la pratique du parapente… Accessible à tout le monde, venez découvrir un des plus beaux sites du Cœur d’Hérault d’une façon unique.;34079;Clermont-l'Hérault;43.624404, 3.43630637
17;SHERP'ANES - LES ÂNES DU CAUSSE;"Au cœur des grands espaces sauvages du causse du Larzac, nous vous proposons des randonnées itinérantes avec ânes bâtés de 1 à 15 jours, hébergement en gîte ou bivouac. L'âne, compagnon idéal du randonneur, vous fera découvrir toute la beauté et les richesses des grands causses et de ses contreforts. C'est la formule idéale pour un vrai séjour nature entre Cévennes et Méditerranée. À voir : Grands Sites, périmètre Causses & Cévennes inscrit au patrimoine mondial par l'UNESCO, gorges, canyons et sentiers de crêtes... Une activité de plein air conviviale et originale qui réjouira petits et grands !
Gîte  sur place.";34317;La Vacquerie-et-Saint-Martin-de-Castries;43.7920622, 3.45274328
18;TENNIS CLUB DU BARROU;"Dans un cadre agréable, le Tennis Club du Barrou,  club sportif familial, accueille joueurs et joueuses de tous âges et tous niveaux, amateur de tennis loisir ou compétiteurs acharnés.

Un club house avec salon TV et Bar
12 courts : 10 cours en green set, 2 courts en terre battue synthétique, 2 courts couverts en terre battue, et 1 mur.
2 vestiaires avec douches, une salle de musculation, un terrain de pétanque...

 Location de courts (réservation 24h avant conseillée) : 
15 €/l'heure pour un court extérieur pour le Green Set / 20€ pour la terre battue synthétique
20 €/l'heure pour un court intérieur (en terre battue)

Les stages avec Campus Tennis à Sète : 
Une marque reconnue dans l’organisation de stages de tennis
Des formules adaptées pour tous les niveaux : stages jeunes, stages adultes, circuits de tournois, stage en pension complète, leçons individuelles.
Stage d'une semaine pour les enfants dès 4 ans.  Contacts :  NICOLAS BRUN - info@campustennis.fr - www.campustennis.fr";34301;Sète;43.4159591, 3.6705065
19;CLUB DE PLONGEE MAUGUIO CARNON;"Un bateau d'une capacité de 30 plongeurs, deux compresseurs, un local, un créneau piscine le jeudi soir à Mauguio et le prêt de matériel pour débuter...
Les activités sont diverses : plongée d'exploration, technique, de nuit. Plongée à thème : biologie, initiation à la plongée souterraine....";34154;;43.5441621, 3.97078514
20;JET EVASION 34;"La base de location de jet ski JET EVASION 34, pour vous faire découvrir la côte méditerranéenne par voie maritime... 
Pas besoin de permis bateau côtier pour piloter ! Un moniteur diplômé (BP JEPS-Jeunesse et Sport- ou BF 2° degré) vous propose ses conseils et assure votre sécurité en mer lors de balades sympas ( baptême, initiation 20 mn et 40 mn, randonnées 1 h ou 2 h).";34324;Valras-Plage;43.2469532, 3.29728245
21;LILY BATEAU ECOLE;Tous permis, mer, côtier, hauturier, carte mer, permis fluvial, permis jet ski. Moniteur diplômé de la marine marchande. Formation en 2 jours. Cours de perfectionnement et cours privés toute l'année.;34324;Valras-Plage;43.2461463, 3.2930934
22;CLUB OMNISPORTS SECTION DANSE;La section danse, propose des activités liées à la danse et l'expression corporelle. Les cours sont dispensés par un professeur diplômé d'état et se déroulent dans la salle de danse du gymnase. Ouvert à tous, les bambins à partir de 4 ans bénéficient d'un éveil corporel et rythmique, les enfants, adolescents et adultes peuvent choisir la danse classique, le modern jazz. Un grand spectacle annuel clôture la saison favorisant le sens artistique de chacun, et mettant en pratique le travail appris en cours.;34154;Mauguio;43.5454716, 3.9799429
23;AVENTURE PECHE HERAULT;"Organisation de séjours et stages : pêche en mer (Sète), pêche aux carnassiers au Lac du Salagou et Fleuve Hérault.
Séjours juniors, pêche avec ou sans hébergement.
Stages pour jeunes (carnassiers) dans le fleuve Hérault.
Guidage particuliers.
Moniteur, guide de pêche.";34114;Gignac;43.6530843, 3.5523992
24;CATAMARAN MIKAËL 2;Pêche en matinée et à la journée & promenades en mer les après-midi, à l'heure de l'apéro et du coucher de soleil. Événements, privatisation pour particuliers et professionnels,  feux d'artifices, dispersion de cendres en mer.;34192;Palavas-les-Flots;43.5272433, 3.93183906
25;RELAIS NAUTIQUE;"Rives d'Octon, Le Relais Nautique d'Octon située sur le lac du Salagou vous accueille tous les jours dans un cadre naturel d'exception. Louez canoës, Stand up Paddles ou pédalos.
Dans une ambiance conviviale et décontractée, notre guinguette vous propose des rafraîchissements, glaces et une petite restauration (midi et soir) cuisinée avec les produits du terroir.";34186;Octon;43.6506906, 3.32562241
26;CPIE DES CAUSSES MERIDIONAUX;"Le CPIE des Causses Méridionaux est une association labellisée « Centre Permanent d’Initiatives pour l’Environnement ».

Il a pour objet général d’assurer la sauvegarde, la mise en valeur, le développement concerté et durable des causses héraultais et gardois dénommés « Causses Méridionaux » et de leurs piémonts « Lodévois » et « Gorges de la Vis et de la Virenque ».

Le fonctionnement de l’association repose sur la base du travail en équipe et en réseau avec les acteurs du territoire (élus, communautés de communes, socioprofessionnels, associations, agriculteurs, animateurs…).

Le CPIE gère un programme concerté de développement durable : accompagne les territoires  et informe et sensibilise tous les publics. Il accueille un centre de ressources sur l’agropastoralisme et l'environnement.";34064;Le Caylar;43.8621039, 3.31992966
27;SKI NAUTIQUE CLUB DU PONANT;Ski Nautique - Wakeboard - débutants et confirmés - bouées - flyfish - parachute ascensionnel avec moniteur d'état;34344;La Grande-Motte;43.56762, 4.10228848
28;ACTIVITES CYCLOTOURISTIQUES BESSILLES;"Site VTT labellisé FFC, point de départ de 240 km  de circuits. 7 sentiers balisés de 6 à 35 km au cœur du parc départemental nature et loisirs.
Location de vélo VTT sur place en juillet-août, 9h-17h.

#LOCATIONVELO";34162;Montagnac;43.4775391, 3.53871873
29;BASE ÉCOCANAL;"Évadez vous sur le Canal du Midi avec des bateaux pour 5 et 7 personnes . 
Eco Canal peut accueillir des groupes jusqu'à 27 personnes et proposer des promenades de 1 ou 2 heures. 
Les bateaux sont électriques et sans permis. On trouve aussi des vélos à la location pour 1/2 journée ou 1 journée.
Nouveauté : location bateau à la journée.";34336;Villeneuve-lès-Béziers;43.3171849, 3.28319549
30;LOC'AVENTURE;Venez découvrir, à travers des pistes et les chemins, des sites extraordinaires au cœur d'une nature encore sauvage. Circuits, initiation, zones trial, stages. Rando quad. Circuits adultes et enfants. Pour les groupes, possibilité de formule à la carte. Ouvert d'avril à début novembre, et à l'année sur réservation.;34324;Vendres;43.2380946, 3.2592553
31;ACROROC;"Situé au cœur du Parc Naturel du Haut Languedoc, l'équipe d'Acroroc vous propose un cocktail d'activités de pleine nature.
En toute sécurité, avec des moniteurs diplômés et expérimentés, vous pourrez pratiquer le canyoning, l'escalade, la spéléologie, la randonnée, le VTT et aussi une via ferrata unique dans la région, avec une tyrolienne de 100 mètres.
Vous pourrez également tester votre agilité avec notre parcours dans les arbres Arbracadabranche !";34273;Saint-Martin-de-l'Arçon;43.57482, 2.983004
32;FÉDÉRATION DÉPARTEMENTALE DE LA PÊCHE ET DE LA PROTECTION DU MILIEU AQUATIQUE;La Fédération de Pêche de l’Hérault a été créée en 1969. Elle délivre les cartes de pêche, assure également la police de la pêche et mène actions en faveur de la biodiversité aquatique. Elle permet de faire découvrir par le biais de stages, d’animations ou de conseils, l’univers de la pêche et de sensibiliser à la protection du milieu aquatique. Possibilité d'acheter des cartes de pêche.;34186;Octon;43.651025, 3.306717
33;LA FERME SOLONGO;Balades, randonnées à cheval et ânes;34193;Pardailhan;43.450633, 2.846652
34;LES CHEVAUX DES MUSCATS;"Centre de tourisme équestre proposant toute l'année des balades et randonnées à cheval. 
du débutant au confirmé, Chantal vous accueille en juillet /août  pour des  balades à cheval depuis les rives du lac et sur le commune de Nébian en arrière saison. De la petite balade, à la rando sur plusieurs jours tout est possible.
Le centre propose également de la pension pour chevaux.

Vous pourrez découvrir l'arrière pays Héraultais à cheval, en passant par les collines avec de beaux points de vues à 360°(balades de 2h) ou en passant par des lieux pittoresques:Villeneuvette, Mourèze et son cirque dolomitique...(1/2 journée et journée)
Randonnées sur plusieurs jours également et à la carte( Camargue, Larzac, Aveyron).";34180;Nébian;43.5901629, 3.4519924
35;ASSOCIATION DES JOYEUX CARNONNAIS;;34154;Mauguio;43.5470309, 3.9796242
36;VUE D'EN HAUT;"Pour visiter notre belle région de manière originale, rien de mieux que d’expérimenter les activités verticales !

Grâce à 'Vue d’en Haut', venez en toute décontraction et en totale sécurité, découvrir de magnifiques paysages d’un nouveau point de vue !
Prenez de la hauteur, observez la faune et la flore, perfectionnez-vous dans des activités telles que l’escalade, les randonnées rappel, le slackline, la via ferrata ou encore le canyoning…

Que vous soyez seul ou en petits groupes, un moniteur disponible et attentif sera à votre disposition, le tout dans la bonne humeur bien entendu!

Venez aussi découvrir en famille ou entre copains l'arrière pays Montpellierain avec un longboard qui avance tout seul.";34276;Saint-Mathieu-de-Tréviers;43.7688071, 3.8627431
37;TRAMONTANA - WINDSURF;"Ecole mobile de planche à voile, nous fonctionnons à la carte toute l'année. Nous sommes principalement situés sur l'étang d'Ingril, un lieu idéal en terme de conditions météo et de sécurité pour une progression rapide et adaptée au plus grand nombre.  Nouveau : Funboard et Swing Surf .
Un plan d'eau rassurant car peu profond, des moniteurs diplômés et expérimentés, du matériel récent et adapté à votre niveau, le tout sur un spot venté! Nous vous proposons la location ou des cours de planche à voile ou de stand up paddle. A partir de 7 ans. Réservation obligatoire pour les cours et hors saison.";34108;Frontignan;43.4415252, 3.79069134
38;MANADE MARGE LE DELTA;"C’est ici dans le Sud de la France entre Fleury d’Aude et Vendres, près de Béziers dans l’Hérault que se situe la Manade Margé. Un site unique & sauvage en bordure d’étang, à quelques embruns de la Méditerranée et de ses plages. Les terres de la Manade s’étendent sur 1500 hectares où sont élevés dans la plus pure des traditions des chevaux et des taureaux braves.

L’amour de la terre, de l’environnement et de la consommation saine et responsable conduit la famille Margé à l’élevage BIO de Black Angus et de Porc noir, élevés & nourris en plein air gage d’une viande savoureuse et de qualité.

Toute la famille Margé porte en elle la passion de la terre, du cheval et du taureau et vous invite à vivre la Manade au travers des services proposés : 
- Chambre d'hôtes 
- Réception 
- Le cheval
 - Activités 
- Viande Bio";34329;Vendres;43.269435, 3.225202
39;ASSOCIATION KERMIT;"L'association KERMIT intervient toute l'année et anime des prestations de sensibilisation à l'environnement. 
Basés sur le Larzac méridional, nous intervenons principalement sur le territoire du Lodévois et Larzac. 
Nous proposons des découvertes faciles en extérieur, ou, lors de manifestations avec stand tout public et atelier pour enfants. 
Nos thèmes privilégiés : la faune sauvage héraultaise, l'histoire du Larzac de la préhistoire à nos jours, les lavognes, l'agropastoralisme...";34317;La Vacquerie-et-Saint-Martin-de-Castries;43.7886932, 3.46062898
40;KAYAK TRIBU A SAINT SERIES;"Chasses au Trésor en Canoë et balades sur le Vidourle dans un site préservé classé Natura 2000.
Location de Canoë-Kayak, de Stand Up Paddle et de Kits de Via Ferrata.
Encadrement et animation pour les groupes. (Scolaires, Centres de Loisirs, Séminaires Entreprises, Enterrement de vie de célibataires, Anniversaires...)
Parcours faciles de 4, 8 ou 12km.
1/2 journée, journée, nocturne ou 2 jours d'activités avec bivouac.
Formule Bivouac : Jour 1 : chasse au trésor en canoë. Jour 2 : Via Ferrata et Paddle";34243;Saint-Sériès;43.7366098, 4.1185131
41;PONEY CLUB DE MAUSSAC;"Jerôme de Latude, enseignant diplômé, vous accueille au domaine de Maussac dans un espace dédié aux poneys et aux enfants.
Baby-poney, débutants, galop 1-2, galop 3-4, poney-game. Proposition de cours les mercredis, samedis et certains dimanches et de stages durant les petites vacances scolaires.";34336;Villeneuve-lès-Béziers;43.3127954, 3.2532321
42;LE MOULIN DU MONT RAMUS;"Découvrez la culture de l’olivier à travers une exposition “L’univers de l’olivier” et les visites commentées sur les techniques d’extraction de l’huile d’olive vierge extra. Douze variétés d’oliviers sont cultivées, transformés en huile, olives de table, tapenade et confiture. 
Visites guidées gratuites.

Grande boutique de produits du terroir.";34031;Bessan;43.3814373, 3.41783271
43;MANADE VITOU DE FONTMARIE BALADES EN CALECHE;"En calèche, pour une durée d'environ 2 heures, le manadier vous fait découvrir le travail des gardians à cheval, l'oliveraie millénaire du domaine et le vignoble des Coteaux de Montpellier. 
Cette aventure, unique dans l'Hérault, se fait au rythme des chevaux de trait. 
L'excursion se termine par une dégustation d'huile d'olive du domaine, accompagnée des vins du terroir.";34058;Castries;43.68939, 4.0180981
44;BOULE NATIONALE LAPEYRADOISE;Pratique de la pétanque et jeu provençal, organisation de concours.;34108;Frontignan;43.4260373, 3.72684909
45;FRANCS PETANQUEURS FRONTIGNANAIS;Pratique et promotion de la pétanque, organisation de tournois. Accueil au boulodrome Victor-Perségol les jeudis à partir de 14h00.;34108;Frontignan;43.4494885, 3.75466862
46;LE SPRING GARDEN;"Centre d'équitation en pleine nature dans un cadre d'exception...
Nous vous proposons des balades et des randos adaptées au niveau des cavaliers, les débutants sont les bienvenus.
Accueil des cavaliers et cyclistes de passage.";34080;Colombières-sur-Orb;43.5752388, 3.00644356
47;AILEV - ULM;"L’école ULM vous propose de découvrir le plaisir du vol entre ciel et terre. Venez découvrir vue du ciel la vallée de l’Orb, le canal du Midi ou les contreforts du parc naturel du Languedoc.

Brevet de pilotage, qualifications radio et emport passager, délivrance de niveau de compétence : largage parachutiste, banderole, photo aérienne.

Vol découverte - baptême - Brevet de pilotage, Qualifications radio et emport passager, Délivrance de niveau de compétence : Largage parachutiste, banderole, photo aérienne.

Un souvenir inoubliable !";34225;Puisserguier;43.398019, 3.03314924
48;LES PEPITES DE NOELLE;Excursions à la demi-journée, à la journée. Circuits sur mesure à la demande des visiteurs. Noëlle met à votre service son expertise du monde du vin et son réseau de vignerons. Initiation à la dégustation pour les adultes. Savoir utiliser ses 5 sens pour mieux goûter les jus de fruits, pour les enfants. Authenticité, curiosité, échange sont les trois valeurs qui vont rythmer votre journée.;34079;Clermont-l'Hérault;43.6275252, 3.42230519
49;CDL DEGUSTATION MONTPELLIER;;34057;Castelnau-le-Lez;43.6408431, 3.9269002
50;LOCABOAT HOLIDAYS;"Envie de découvrir la Camargue ? Pour une croisière nature le long du Canal du Rhône à Sète ou plus historique vers le Canal du Midi en passant l’étang de Thau, la base de Locaboat à Lattes vous propose ses pénichettes à la location.
Pour un week-end, une semaine ou plus, partez en couple, en famille, entre amis et découvrez le Canal depuis votre poste de pilotage. Ces bateaux sans permis permettent à tous de devenir capitaine, le temps des vacances, pour une croisière où vous décidez du cap à suivre.
Trouvez votre croisière sur mesure sur notre site : www.locaboat.com";34129;Lattes;43.5719845, 3.9042069
51;LSF (FRENCH LANGUAGE SCHOOL) - IEF (INSTITUT EUROPÉEN DE FRANÇAIS);"LSF et IEF enseignent le français depuis près de 25 ans . Les deux écoles se sont regroupées en 2021 pour donner le meilleur à leurs étudiants.
Elles bénéficient d’une double certification label QUALITÉ FLE (15*/15) et QUALIOPI et sont également reconnues par leurs étudiants avec des avis très positifs (4,9/5 et 5/5 sur Facebook et Google). 
En  plein cœur du centre historique, dotée de plus de 19 salles de classe , l’école accueille chaque année pas moins de 4 500 étudiants. 

LSF et IEF Montpellier se distinguent par la : 
•	Qualité de l’enseignement avec des professeurs diplômés et ultra qualifiés, disposant d’une grande expérience répondant à une mixité d’objectifs (besoins scolaires ou universitaires,  professionnels ou tout simplement pour le plaisir), de niveaux (de débutant au niveau C2), d’âges  et de cultures 
•	Qualité pédagogique avec des outils qui sont à la pointe 
•	Qualité du séjour avec des offres d’hébergement triées sur le volet 
•	Qualité humaine des équipes";34172;Montpellier;43.6109146, 3.8730202
52;CFLE-CIHEAM-IAMM;"Créé en 1979, le CFLE accueille plus de 400 étudiants par an représentant plus de 30 nationalités différentes. 
Notre activité s’appuie sur une démarche qualité reconnue par le label « Qualité FLE », la certification ISO 9001 et le label « Bienvenue en France ».

Nos enseignants dynamiques, qualifiés et passionnés ont à cœur de répondre à vos besoins de façon personnalisée. Nous proposons des formations pour tout niveau (A1 à C2) qui peuvent être créditées selon le système de transfert de crédits européen (ECTS). Notre spécificité est de nous positionner au premier plan sur l’enseignement du français général, académique et scientifique. Nous travaillons en partenariat avec les universités et instituts de recherche de Montpellier.";34172;Montpellier;43.6483573, 3.86296748
53;ILP - INSTITUT LINGUISTIQUE DU PEYROU;"Labellisé par les Ministères et membre du groupement professionnel Souffle, iLP garantit un séjour linguistique de qualité à un prix attractif : professeurs diplômés et spécialistes du français langue étrangère, pédagogie dynamique répondant aux exigences du CECR, accueil personnalisé, ambiance conviviale, hébergements soigneusement sélectionnés, activités culturelles variées. 

Types de cours : 
Cours en groupes, cours individuel. Français général ou sur objectifs spécifiques, préparation aux examens. 
Séjours scolaires en classes fermées ou internationales. 
Séjours Juniors.
Stages professeurs. 
Tous âges. Tous niveaux, de débutant à C2. 
Dates et durée des cours adaptées aux besoins de chacun. 
Début des stages chaque lundi.";34172;Montpellier;43.6045862, 3.87709884
54;OBA BRASIL;"Prestation artistique brésilienne, produite sous forme d’animations événementielles de qualité.
Des pétillantes performances de samba qui apportent une atmosphère festive, interactive et originale à votre événement, adaptées selon les différents lieux de
prestations et capables de vous surprendre en créativité et innovation.
Les danseuses brésiliennes natives aux visages exotiques, le corps sculptés par la samba se déhanchant malicieusement avec leurs costumes en strass et
plumes. 
Des musiciens pour accueillir vous convives en Bossa Nova ou Roda de Samba. L’énergie dynamique de la capoeira au son d’une batucada survoltée vous
fera partir en voyage au pays du carnaval.
Le partage d’un moment festif !";34172;Montpellier;43.6060112, 3.8896706
55;LILY PROMENADE;"Poissons en vue ! 
Sur le Lily III Speranza, partez pour une partie de pêche en mer sur la Méditerranée, les poissons ne tarderont pas à mordre à vos appâts.
Le Lily III c'est aussi des promenades en mer tous les jours en juillet et en août, et sur réservation au printemps et à l'automne.";34324;Valras-Plage;43.248668, 3.29233
56;VELO LOVE;"A votre service depuis 50 ans, à proximité du Casino. Location de vélos enfants et adultes, remorques, VTT, rosalies de 2 à 14 places, kart duo. Réservation par courriel ou téléphone de avril à juin. Chèques vacances acceptés. Ouvert 7j/7 du 01/07 au 31/08, pendant les vacances scolaires et week-ends de printemps et de septembre.
Vélo love vous propose également des locations de paddl, kayak solo duo ou trio, vélo sous marin, aquavélo relax ou aquavélo. visio
Sur présentation du guide d'accueil distribué dans nos offices de tourisme, 1/3 du temps offert pour les rosalies.";34324;Valras-Plage;43.248668, 3.29233
57;AQUA TURTLE BALARUC (BATEAUX ÉLECTRIQUES SANS PERMIS, JET SKIS POUR ENFANTS, VÉLO SUR L'EAU & PADDLES GÉANTS 7 PLACES);"Aqua Turtle situé a Balaruc-Les-Bains vous propose plusieurs activités nautiques sur l'Etang de Thau : 

- Bateaux électriques sans permis 3 ou 5 places,
- Jet-skis pour enfants a partir de 7 ans, 
- Vélos sur l'eau 1m40 minimum, 
- Paddles géants 7 places ou encore des pédalos 4 places..

Ouvert d'avril a septembre selon les conditions météorologiques 

Juillet/Aout : Ouvert 7j/7 de 10h a 19h  (réservation conseillé)";34023;Balaruc-les-Bains;43.4411443, 3.68369883
58;ACB-ILO LANGUES;"Depuis 30 ans, ACB-ILO, spécialiste linguistique vous accompagne dans vos projets dans plus de 35 langues.
Idéalement situés à Antigone, nous vous accueillons pour définir vos besoins. 
Formation :
Quel que soit votre statut, évaluez votre niveau de langue et nous élaborerons ensuite votre programme en fonction de vos besoins. Notre pédagogie est axée sur l’oral avec des formateurs de langue maternelle. 
Gagnez rapidement en confiance et communiquez mieux.
ACB-ILO est centre d’examens officiel pour les certifications (VOLTAIRE, TOEIC, BULATS, …) avec ateliers de préparation.
ACB-ILO vous aide à monter votre dossier de financement (CPF …)
Traduction – interprétariat : 
Traductions assermentées de vos documents officiels (permis, cv …). 
Nos interprètes vous accompagnent dans vos démarches.";34172;Montpellier;43.6084403, 3.891288
59;OCCIGÈNE RÉSEAU;"Le Réseau Occigène regroupe des professionnels du sport, des loisirs, des APN et du tourisme d'aventure. Entre eau, terre et air, c'est +18 types d'activités différentes qui vous sont proposées. Elles sont accessibles à tous quel que soit le niveau et pour tous les plaisirs, de l'initiation au perfectionnement, de la découverte à la performance.

Les professionnels du réseau veilleront à ce que la pratique de ces activités soit conviviale, ludique, avec du matériel de qualité et gérée par des moniteurs qualifiés.

Les structures présentées sont toutes titulaires du Label Qualité Tourisme Sud de France ou en cours de labellisation, ce qui vous offre la garantie d'une grande qualité de service et d'accueil, la convivialité lors de vos activités et l'authenticité par la mise en valeur de l'identité locale.";34172;Montpellier;43.6167208, 3.8299106
60;ÔM SWEET ÔM-YOGA-GYM RELAX-PILATES;"Dans le quartier des Aubes, près des Beaux Arts, au studio Ôm Sweet Ôm ainsi que l'été sur la plage et Paddle, Corinne Barbier, professeur diplômée (voir site) vous propose depuis maintenant plus de 20 ans des cours du lundi au samedi, des stages le week-end et des cours particuliers (coaching personnalisé).

Sur demande des séances de Yoga sur Paddle dès le mois d'avril et à  partir de juin, chaque week-end et parfois en semaine, selon la météo. Programme sur facebook ou s'abonner par mail
Accessible à tous (âge, niveau...), il faut juste savoir nager et bien sûr ne pas avoir peur d'être en mer.
Sur demande pour des enterrements de vie de jeune fille , des anniversaires ou des sorties entre amis(es). 10 personnes maximum.
Covid: venir déjà en tenue, maillot ou combinaison et masqués. Le masque est enlevé  quand chacun est sur son paddle.
Matériel désinfecté et nettoyé après chaque séance";34172;Montpellier;43.6180311, 3.8873744
61;RUNNING VISITE;"Seul ou entre amis, venez tester le "" RUNNING VISITE "": activité qui lie course à pied et découverte de Montpellier. Apprenez à connaître les places, les ruelles et autres monuments qui font l'identité de la ville. Sachez où il faut aller pour être vu, pour déjeuner, pour faire du shopping.... tout en profitant des conseils de votre coach sportif. Montpellier n'aura plus de secret pour vous.";34172;Montpellier;43.6110975, 3.8536443
62;ESCAPEO, RANDONNÉE, VTT ET ACTIVITÉS NATURE POUR TOUS;Randonnée commentée, Balade vigneronne, Animations nature pour les enfants, organisation de séjours... Des activité pour tous niveaux et accessible handicap (Joelette et FTT Quadrix);34268;Saint-Jean-de-la-Blaquière;43.715345, 3.42311925
63;LES ÉCURIES DE L'ALEZANE;Les Écuries de l'Alezane sont une pension pour chevaux de propriétaires qui souhaitent un endroit agréablement différent. Nos installations se trouvent sur 5 ha arborés : boxes, abris, paddocks et prés vous offrent un large choix. Vous pourrez vous occuper de votre cheval dans un endroit calme, propre, agréable, personnalisé et profiter d'un club house pour vous détendre auprès de votre cheval ! Les Écuries de l'Alezane accueillent aussi bien des cavaliers de loisirs que des compétitions CSO, CCE, Endurance... Les cours et le coaching sont dispensés par des cavaliers professionnels diplômés qui sont à votre disposition pour réfléchir avec vous à la solution qui s'adaptera au mieux à vos besoins. Les Écuries de l'Alezane sont affiliées à la FFE et délivrent les licences nationales.;34246;Entre-Vignes;43.7212551, 4.07097729
